kind,route_name,destination,departure_time,platform
bus,大楽毛線,釧路駅,07:40,高専前
bus,大楽毛線,釧路駅,13:55,高専
bus,大楽毛線,釧路駅,15:25,高専前
bus,大楽毛線,釧路駅,18:55,高専
bus,たんちょう線,イオン釧路店,09:20,高専前
bus,たんちょう線,イオン釧路店,10:20,高専前
bus,たんちょう線,イオン釧路店,11:35,高専前
bus,たんちょう線,イオン釧路店,12:30,高専前
bus,たんちょう線,イオン釧路店,13:45,高専前
bus,たんちょう線,イオン釧路店,14:50,高専前
bus,たんちょう線,イオン釧路店,15:55,高専前
bus,たんちょう線,イオン釧路店,17:00,高専前
bus,たんちょう線,イオン釧路店,17:45,高専前
bus,空港連絡バス,釧路空港,07:48,高専前
bus,空港連絡バス,釧路空港,08:08,高専前
bus,空港連絡バス,釧路空港,08:48,高専前
bus,空港連絡バス,釧路空港,08:58,高専前
bus,空港連絡バス,釧路空港,10:23,高専前
bus,空港連絡バス,釧路空港,11:48,高専前
bus,空港連絡バス,釧路空港,12:28,高専前
bus,空港連絡バス,釧路空港,13:28,高専前
bus,空港連絡バス,釧路空港,13:43,高専前
bus,空港連絡バス,釧路空港,14:18,高専前
bus,空港連絡バス,釧路空港,16:03,高専前
bus,空港連絡バス,釧路空港,16:53,高専前
bus,空港連絡バス,釧路空港,17:23,高専前
bus,空港連絡バス,釧路空港,18:48,高専前
bus,白糠線,釧路駅,09:53,大楽毛分岐
bus,白糠線,釧路駅,10:54,大楽毛分岐
bus,白糠線,釧路駅,11:54,大楽毛分岐
bus,白糠線,釧路駅,12:54,大楽毛分岐
bus,白糠線,釧路駅,14:24,大楽毛分岐
bus,白糠線,釧路駅,15:53,大楽毛分岐
bus,白糠線,釧路駅,16:53,大楽毛分岐
bus,白糠線,釧路駅,18:23,大楽毛分岐
train,根室本線,釧路方面,07:27,大楽毛駅
train,根室本線,釧路方面,08:05,大楽毛駅
train,根室本線,釧路方面,09:09,大楽毛駅
train,根室本線,釧路方面,12:59,大楽毛駅
train,根室本線,釧路方面,15:13,大楽毛駅
train,根室本線,釧路方面,18:22,大楽毛駅
train,根室本線,釧路方面,19:07,大楽毛駅
train,根室本線,釧路方面,19:53,大楽毛駅
train,根室本線,釧路方面,20:55,大楽毛駅
train,根室本線,釧路方面,23:07,大楽毛駅
train,根室本線,新得行き,06:11,大楽毛駅
train,根室本線,音別行き,07:27,大楽毛駅
train,根室本線,新得行き,10:50,大楽毛駅
train,根室本線,帯広行き,14:30,大楽毛駅
train,根室本線,芽室行き,15:56,大楽毛駅
train,根室本線,新得行き,17:18,大楽毛駅
train,根室本線,白糠行き,18:12,大楽毛駅
train,根室本線,新得行き,19:42,大楽毛駅
train,根室本線,音別行き,21:56,大楽毛駅
